	Osram930	Osram930_INT
	W/m2 -nm	
455	0.00119755	0.0875618
456	0.0012322	0.088794
457	0.00127169	0.0900657
458	0.00130468	0.0913704
459	0.00132716	0.0926976
460	0.0013511	0.0940487
461	0.00140118	0.0954499
462	0.0014556	0.0969055
463	0.00149936	0.0984048
464	0.00153358	0.0999384
465	0.00157496	0.101513
466	0.00161573	0.103129
467	0.0016698	0.104799
468	0.0017305	0.106529
469	0.00174948	0.108279
470	0.00174652	0.110025
471	0.0017725	0.111798
472	0.0018545	0.113652
473	0.00192183	0.115574
474	0.00196399	0.117538
475	0.00199689	0.119535
476	0.00202239	0.121558
477	0.00205013	0.123608
478	0.00209842	0.125706
479	0.00217978	0.127886
480	0.00226944	0.130155
481	0.00240302	0.132558
482	0.00261934	0.135178
483	0.00301326	0.138191
484	0.00362042	0.141811
485	0.00442422	0.146236
486	0.00530297	0.151538
487	0.0060517	0.15759
488	0.00645268	0.164043
489	0.00651235	0.170555
490	0.00637949	0.176935
491	0.00614051	0.183075
492	0.00584457	0.18892
493	0.0055309	0.194451
494	0.00528246	0.199733
495	0.00495771	0.204691
496	0.0046855	0.209376
497	0.00455405	0.21393
498	0.00444084	0.218371
499	0.00416819	0.222539
500	0.00374702	0.226286
501	0.00335594	0.229642
502	0.00304314	0.232686
503	0.00284011	0.235526
504	0.00273168	0.238257
505	0.00265057	0.240908
506	0.00261885	0.243527
507	0.00239482	0.245922
508	0.00198822	0.24791
509	0.00231818	0.250228
510	0.00237856	0.252607
511	0.0024476	0.255054
512	0.00244975	0.257504
513	0.00244858	0.259952
514	0.0024093	0.262362
515	0.0023748	0.264737
516	0.0023542	0.267091
517	0.00231326	0.269404
518	0.00224104	0.271645
519	0.00223661	0.273882
520	0.00227078	0.276152
521	0.00228654	0.278439
522	0.00227068	0.28071
523	0.00224561	0.282955
524	0.00224031	0.285196
525	0.00224636	0.287442
526	0.00222911	0.289671
527	0.00218159	0.291853
528	0.00217418	0.294027
529	0.00221983	0.296247
530	0.00224842	0.298495
531	0.00226354	0.300759
532	0.00233797	0.303097
533	0.00264101	0.305738
534	0.00297283	0.30871
535	0.0029598	0.31167
536	0.00284437	0.314515
537	0.00310889	0.317623
538	0.00396591	0.321589
539	0.0052935	0.326883
540	0.0070402	0.333923
541	0.0105453	0.344468
542	0.0174707	0.361939
543	0.0251369	0.387076
544	0.0286532	0.415729
545	0.0289032	0.444632
546	0.029322	0.473954
547	0.0271285	0.501083
548	0.0180426	0.519126
549	0.0112041	0.53033
550	0.0100771	0.540407
551	0.00937436	0.549781
552	0.00847829	0.558259
553	0.0078193	0.566079
554	0.00668955	0.572768
555	0.00504915	0.577817
556	0.00372275	0.58154
557	0.00304669	0.584587
558	0.00277691	0.587364
559	0.00260573	0.589969
560	0.00249353	0.592463
561	0.0024618	0.594925
562	0.00246507	0.59739
563	0.00246238	0.599852
564	0.002458	0.60231
565	0.00240226	0.604712
566	0.00235464	0.607067
567	0.0023405	0.609408
568	0.00235798	0.611766
569	0.00239356	0.614159
570	0.00237773	0.616537
571	0.00235745	0.618894
572	0.00237409	0.621268
573	0.00247871	0.623747
574	0.00261775	0.626365
575	0.00272958	0.629094
576	0.00331202	0.632407
577	0.00447683	0.636883
578	0.00538192	0.642265
579	0.00570971	0.647975
580	0.00695373	0.654929
581	0.00770129	0.66263
582	0.00775883	0.670389
583	0.00854702	0.678936
584	0.00942824	0.688364
585	0.00944222	0.697806
586	0.00889253	0.706699
587	0.0100338	0.716733
588	0.0117735	0.728506
589	0.0110203	0.739526
590	0.00878013	0.748307
591	0.00748275	0.755789
592	0.00755403	0.763343
593	0.00860422	0.771948
594	0.00902197	0.78097
595	0.0075265	0.788496
596	0.00582431	0.79432
597	0.00522524	0.799546
598	0.00530488	0.80485
599	0.00603706	0.810888
600	0.00689174	0.817779
601	0.00663808	0.824417
602	0.00556034	0.829978
603	0.00476915	0.834747
604	0.00463201	0.839379
605	0.00479052	0.844169
606	0.00504653	0.849216
607	0.00546292	0.854679
608	0.00626553	0.860944
609	0.00809731	0.869042
610	0.0148081	0.88385
611	0.0342047	0.918054
612	0.0498685	0.967923
613	0.0439489	1.01187
614	0.0294184	1.04129
615	0.0209348	1.06223
616	0.0166064	1.07883
617	0.0124472	1.09128
618	0.00988422	1.10116
619	0.00907164	1.11023
620	0.00935868	1.11959
621	0.0098243	1.12942
622	0.00974138	1.13916
623	0.00919605	1.14835
624	0.00867535	1.15703
625	0.00835728	1.16539
626	0.00800977	1.1734
627	0.00761622	1.18101
628	0.00735353	1.18837
629	0.00734478	1.19571
630	0.00811487	1.20383
631	0.010003	1.21383
632	0.0106326	1.22446
633	0.00815378	1.23262
634	0.00550317	1.23812
635	0.00449929	1.24262
636	0.00422995	1.24685
637	0.00409383	1.25094
638	0.00395794	1.2549
639	0.00386738	1.25877
640	0.00376985	1.26254
641	0.00372656	1.26626
642	0.00370559	1.26997
643	0.00369752	1.27367
644	0.00370655	1.27737
645	0.00372159	1.2811
646	0.00366251	1.28476
647	0.00359951	1.28836
648	0.00352637	1.29188
649	0.00356237	1.29545
650	0.00408566	1.29953
651	0.00470761	1.30424
652	0.00462564	1.30887
653	0.00402672	1.31289
654	0.00364388	1.31654
655	0.00327539	1.31981
656	0.00263011	1.32244
657	0.00256015	1.325
658	0.00293451	1.32794
659	0.00298463	1.33092
660	0.00284948	1.33377
661	0.00277409	1.33654
662	0.00313317	1.33968
663	0.00351419	1.34319
664	0.00343701	1.34663
665	0.00303323	1.34966
666	0.00277679	1.35244
667	0.00272702	1.35517
668	0.00278479	1.35795
669	0.00278419	1.36073
670	0.00266986	1.3634
671	0.0025613	1.36597
672	0.00248159	1.36845
673	0.00241292	1.37086
674	0.00235969	1.37322
675	0.00230141	1.37552
676	0.0022544	1.37778
677	0.00223607	1.38001
678	0.00223652	1.38225
679	0.00227341	1.38452
680	0.0022429	1.38676
681	0.00219408	1.38896
682	0.00213123	1.39109
683	0.00205865	1.39315
684	0.00196694	1.39512
685	0.00186769	1.39698
686	0.00183973	1.39882
687	0.00204939	1.40087
688	0.00235492	1.40323
689	0.00235348	1.40558
690	0.00202224	1.4076
691	0.00177991	1.40938
692	0.00171774	1.4111
693	0.00187222	1.41297
694	0.00215458	1.41513
695	0.00211515	1.41724
696	0.00178071	1.41902
697	0.00155002	1.42057
698	0.00149904	1.42207
699	0.001488	1.42356
700	0.00146124	1.42502
701	0.00146171	1.42648
702	0.00148409	1.42797
703	0.00153814	1.42951
704	0.00167719	1.43118
705	0.00192944	1.43311
706	0.00254592	1.43566
707	0.00351575	1.43917
708	0.00417491	1.44335
709	0.00436479	1.44771
710	0.00414529	1.45186
711	0.00319848	1.45506
712	0.00308726	1.45814
713	0.0035919	1.46174
714	0.0029916	1.46473
715	0.00187559	1.4666
716	0.00132497	1.46793
717	0.00120413	1.46913
718	0.00111147	1.47024
719	0.0010389	1.47128
720	0.0010012	1.47228
721	0.0010254	1.47331
722	0.00107229	1.47438
723	0.00107025	1.47545
724	0.00104104	1.47649
725	8.12526E-4	1.47731
726	8.35683E-4	1.47814
727	8.44811E-4	1.47899
728	8.37862E-4	1.47982
729	8.23437E-4	1.48065
730	8.26556E-4	1.48147
731	6.74488E-4	1.48215
732	5.61699E-4	1.48271
733	7.40874E-4	1.48345
734	7.73754E-4	1.48422
735	7.76882E-4	1.485
736	7.82795E-4	1.48578
737	8.07099E-4	1.48659
738	8.03442E-4	1.4874
739	7.87407E-4	1.48818
740	7.86834E-4	1.48897
741	7.86598E-4	1.48976
742	8.12554E-4	1.49057
743	8.52684E-4	1.49142
744	8.35039E-4	1.49226
745	7.87224E-4	1.49304
746	7.72284E-4	1.49382
747	7.87687E-4	1.4946
748	7.62309E-4	1.49537
749	7.35574E-4	1.4961
750	7.27466E-4	1.49683
751	7.36645E-4	1.49757
752	7.20633E-4	1.49829
753	7.06226E-4	1.49899
754	7.08452E-4	1.4997
755	7.01988E-4	1.5004
756	6.8557E-4	1.50109
757	6.80802E-4	1.50177
758	7.84626E-4	1.50255
759	0.00105397	1.50361
760	0.00156648	1.50517
761	0.00167799	1.50685
762	9.11578E-4	1.50776
763	4.07288E-4	1.50817
764	3.74025E-4	1.50855
765	4.02547E-4	1.50895
766	4.60105E-4	1.50941
767	5.1487E-4	1.50992
768	6.15997E-4	1.51054
769	7.72615E-4	1.51131
770	8.40971E-4	1.51215
771	7.48405E-4	1.5129
772	6.53896E-4	1.51355
773	6.27526E-4	1.51418
774	6.25371E-4	1.51481
775	6.1152E-4	1.51542
776	5.89036E-4	1.51601
777	6.0988E-4	1.51662
778	5.80967E-4	1.5172
779	5.86444E-4	1.51779
780	5.83189E-4	1.51837
781	5.71413E-4	1.51894
782	5.68755E-4	1.51951
783	5.6675E-4	1.52008
784	5.79471E-4	1.52065
785	6.47738E-4	1.5213
786	7.0134E-4	1.522
787	6.54242E-4	1.52266
788	5.73782E-4	1.52323
789	5.33113E-4	1.52376
790	5.24038E-4	1.52429
791	5.29159E-4	1.52482
792	5.29375E-4	1.52535
793	5.26772E-4	1.52587
794	5.28921E-4	1.5264
795	5.16912E-4	1.52692
796	5.20745E-4	1.52744
797	5.17902E-4	1.52796
798	5.08594E-4	1.52847
799	5.13898E-4	1.52898
800	5.03004E-4	1.52948
801	4.96489E-4	1.52998
802	5.0723E-4	1.53049
803	4.97035E-4	1.53099
804	5.01747E-4	1.53149
805	5.45404E-4	1.53203
806	6.27182E-4	1.53266
807	6.48472E-4	1.53331
808	5.5719E-4	1.53387
809	5.22336E-4	1.53439
810	9.91753E-4	1.53538
811	0.0026188	1.538
812	0.00351098	1.54151
813	0.00202529	1.54353
814	6.78804E-4	1.54421
815	4.18437E-4	1.54463
816	4.04768E-4	1.54504
817	4.02035E-4	1.54544
818	5.07839E-4	1.54595
819	7.54098E-4	1.5467
820	8.18757E-4	1.54752
821	5.95366E-4	1.54811
822	4.36283E-4	1.54855
823	3.85385E-4	1.54894
824	3.8339E-4	1.54932
825	4.6183E-4	1.54978
826	6.93096E-4	1.55047
827	8.80797E-4	1.55136
828	7.44244E-4	1.5521
829	8.3282E-4	1.55293
830	0.00118826	1.55412
831	0.00121778	1.55534
832	7.29681E-4	1.55607
833	4.16303E-4	1.55648
834	4.1394E-4	1.5569
835	4.13388E-4	1.55731
836	4.53556E-4	1.55777
837	4.30659E-4	1.5582
838	4.31494E-4	1.55863
839	4.50546E-4	1.55908
840	4.50636E-4	1.55953
841	4.66419E-4	1.55999
842	4.75086E-4	1.56047
843	4.68576E-4	1.56094
844	4.58836E-4	1.5614
845	4.61747E-4	1.56186
846	4.59846E-4	1.56232
847	4.62101E-4	1.56278
848	4.60807E-4	1.56324
849	4.57034E-4	1.5637
850	4.35621E-4	1.56413
851	5.31897E-4	1.56467
852	6.36156E-4	1.5653
853	5.09938E-4	1.56581
854	3.85182E-4	1.5662
855	3.77764E-4	1.56658
856	3.85349E-4	1.56696
857	4.10887E-4	1.56737
858	4.79402E-4	1.56785
859	4.59418E-4	1.56831
860	3.94031E-4	1.5687
861	4.293E-4	1.56913
862	4.41901E-4	1.56958
863	4.68456E-4	1.57004
864	4.48716E-4	1.57049
865	4.47681E-4	1.57094
866	4.21232E-4	1.57136
867	3.53766E-4	1.57172
868	4.41875E-4	1.57216
869	3.83622E-4	1.57254
870	3.99139E-4	1.57294
871	4.10348E-4	1.57335
872	3.88867E-4	1.57374
873	4.13454E-4	1.57415
874	4.49284E-4	1.5746
875	4.577E-4	1.57506
876	3.3965E-4	1.5754
877	9.30171E-4	1.57633
878	0.00191731	1.57825
879	0.00158779	1.57983
880	6.16204E-4	1.58045
881	4.21023E-4	1.58087
882	4.13284E-4	1.58129
883	3.49083E-4	1.58163
884	5.74925E-4	1.58221
885	2.34835E-4	1.58244
886	4.64612E-4	1.58291
887	2.87854E-4	1.5832
888	3.14363E-4	1.58351
889	5.30246E-4	1.58404
890	4.89843E-4	1.58453
891	3.6315E-4	1.58489
892	7.99478E-4	1.58569
893	0.00130898	1.587
894	0.00141875	1.58842
895	8.91634E-4	1.58931
896	4.85831E-4	1.5898
897	7.51206E-4	1.59055
898	4.04184E-4	1.59095
899	2.59659E-4	1.59121
900	9.22694E-5	1.59131
