Band gap (eV),"Voc,sq (V)"
0.5,0.30860839473124346
0.51,0.3175598178946163
0.52,0.3264880165107937
0.53,0.33539165737907606
0.54,0.3442919524393548
0.55,0.353194289321997
0.56,0.3620953116896742
0.5700000000000001,0.37101359172499604
0.5800000000000001,0.3799353211693338
0.5900000000000001,0.3888690746783145
0.6000000000000001,0.3978495143490161
0.6100000000000001,0.4068539198181536
0.6200000000000001,0.41595640659783545
0.6300000000000001,0.4250195886910453
0.6400000000000001,0.43421652662826526
0.6500000000000001,0.44344984991957265
0.6600000000000001,0.45269530923893025
0.6700000000000002,0.46195181178942857
0.6800000000000002,0.47121840175357227
0.6900000000000002,0.4804685957292744
0.7000000000000002,0.48960231045284397
0.7100000000000002,0.49867027822306204
0.7200000000000002,0.5077282527843154
0.7300000000000002,0.5167696373897652
0.7400000000000002,0.5258123699390026
0.7500000000000002,0.5348587333398375
0.7600000000000002,0.5439111720072274
0.7700000000000002,0.5529667711416465
0.7800000000000002,0.5620308550739057
0.7900000000000003,0.5711081840443283
0.8000000000000003,0.5801742429054594
0.8100000000000003,0.5892508837467857
0.8200000000000003,0.5983545586868927
0.8300000000000003,0.607523170800536
0.8400000000000003,0.6168088571998676
0.8500000000000003,0.6261272511169097
0.8600000000000003,0.6354835932856907
0.8700000000000003,0.6448785035893644
0.8800000000000003,0.6542984974712477
0.8900000000000003,0.6637338002657837
0.9000000000000004,0.6731756427781191
0.9100000000000004,0.6826236084394562
0.9200000000000004,0.6920713541102855
0.9300000000000004,0.7014082113853991
0.9400000000000004,0.7106817000314481
0.9500000000000004,0.7199093492415859
0.9600000000000004,0.729107167870473
0.9700000000000004,0.7382950868477713
0.9800000000000004,0.7475145550788262
0.9900000000000004,0.7567144623848188
1.0000000000000004,0.7659057427452408
1.0100000000000005,0.7751043806761164
1.0200000000000005,0.7843196700138165
1.0300000000000005,0.793558034319468
1.0400000000000005,0.8027994465943569
1.0500000000000005,0.8120628058999094
1.0600000000000005,0.8213264594130892
1.0700000000000005,0.8306367404433498
1.0800000000000005,0.8400398836733153
1.0900000000000005,0.8494601380417128
1.1000000000000005,0.858931187074635
1.1100000000000005,0.868406122357099
1.1200000000000006,0.8777649480232581
1.1300000000000006,0.8870662594903146
1.1400000000000006,0.896343577973734
1.1500000000000006,0.9056121802565834
1.1600000000000006,0.9148797440730992
1.1700000000000006,0.9241463921106134
1.1800000000000006,0.9334106127706197
1.1900000000000006,0.9426752783446722
1.2000000000000006,0.9519406444706713
1.2100000000000006,0.9612067144683863
1.2200000000000006,0.9704762615647531
1.2300000000000006,0.979744098902964
1.2400000000000007,0.9890171058208868
1.2500000000000007,0.9982874654771295
1.2600000000000007,1.0075706856618267
1.2700000000000007,1.0168989274014866
1.2800000000000007,1.0262337842377494
1.2900000000000007,1.035639064180789
1.3000000000000007,1.045098174512593
1.3100000000000007,1.0545818555769972
1.3200000000000007,1.0640571138222161
1.3300000000000007,1.0735935425066492
1.3400000000000007,1.08299019616096
1.3500000000000008,1.0923439839498763
1.3600000000000008,1.1017296503862024
1.3700000000000008,1.111102587689146
1.3800000000000008,1.1204899384023266
1.3900000000000008,1.129835045166687
1.4000000000000008,1.1391465424245928
1.4100000000000008,1.1484603377625848
1.4200000000000008,1.1577737451522125
1.4300000000000008,1.1670915386966618
1.4400000000000008,1.1764091162427681
1.4500000000000008,1.1857289577936416
1.4600000000000009,1.1950650051863674
1.4700000000000009,1.2043852699291506
1.4800000000000009,1.2137090070789895
1.4900000000000009,1.2230525748453103
1.5000000000000009,1.2324134619309959
1.510000000000001,1.2417844020227593
1.520000000000001,1.25117450806554
1.530000000000001,1.2605266782194133
1.540000000000001,1.2698573446993497
1.550000000000001,1.2791914823626274
1.560000000000001,1.288524808098754
1.570000000000001,1.2978608876386089
1.580000000000001,1.3071858333086384
1.590000000000001,1.3165094276632923
1.600000000000001,1.3258327139475796
1.610000000000001,1.3351606385457324
1.620000000000001,1.3445538926676228
1.630000000000001,1.3541117948400618
1.640000000000001,1.3634793827978404
1.650000000000001,1.372807418492721
1.660000000000001,1.3821374414460934
1.670000000000001,1.3914691751676331
1.680000000000001,1.4008132522210541
1.690000000000001,1.4101596111053538
1.700000000000001,1.4195366265945406
1.710000000000001,1.4289348159316204
1.720000000000001,1.438317478693256
1.730000000000001,1.4477316062787373
1.740000000000001,1.4570759177214925
1.750000000000001,1.466414924494819
1.7600000000000011,1.4757563167682681
1.7700000000000011,1.4851110146742885
1.7800000000000011,1.4944590726415552
1.7900000000000011,1.5038228843224604
1.8000000000000012,1.5132069661062166
1.8100000000000012,1.522594174549057
1.8200000000000012,1.531931731774924
1.8300000000000012,1.5412677443973763
1.8400000000000012,1.5506041602770984
1.8500000000000012,1.5599409988665207
1.8600000000000012,1.569276513957395
1.8700000000000012,1.5786181454767334
1.8800000000000012,1.5879657406739425
1.8900000000000012,1.5973411363015018
1.9000000000000012,1.6066937557919205
1.9100000000000013,1.616047713764281
1.9200000000000013,1.625399199373483
1.9300000000000013,1.6347397074067698
1.9400000000000013,1.6440839719755196
1.9500000000000013,1.6534269064797895
1.9600000000000013,1.662775638159801
1.9700000000000013,1.6721361412490954
1.9800000000000013,1.681496037383816
1.9900000000000013,1.6908562419435962
2.0000000000000013,1.7002042831354585
2.0100000000000016,1.7095546152301593
