Band gap (eV),"Voc,sq (V)"
0.5,0.30860839473124346
0.501,0.30951087451938136
0.502,0.31040720409467715
0.503,0.31130230231696077
0.504,0.312194531232697
0.505,0.31308683846643465
0.506,0.3139829809838033
0.507,0.31488053164033414
0.508,0.3157729396584717
0.509,0.3166658255067008
0.51,0.3175598178946163
0.511,0.31843834730373527
0.512,0.3193428182255744
0.513,0.32022776948627113
0.514,0.3211325936998818
0.515,0.3220136827203912
0.516,0.32291885761478434
0.517,0.3237953169627764
0.518,0.32470083995648313
0.519,0.3255821479690826
0.52,0.3264880165107937
0.521,0.3273664274745453
0.522,0.32827263904060255
0.523,0.3291534761982332
0.524,0.33004385774438283
0.525,0.3309338311588121
0.526,0.3318254111298464
0.527,0.3327179287252835
0.528,0.33360950243889703
0.529,0.33450104702254624
0.53,0.33539165737907606
0.531,0.3362807790729778
0.532,0.3371704100050681
0.533,0.3380609510852513
0.534,0.338952150773865
0.535,0.3398423044294786
0.536,0.34073122989656357
0.537,0.341620795883248
0.538,0.34251133993485444
0.539,0.3434018396180569
0.54,0.3442919524393548
0.541,0.3451819746704681
0.542,0.3460720497158898
0.543,0.34696187075905743
0.544,0.347851966476861
0.545,0.3487425931399768
0.546,0.3496329599743642
0.547,0.35052305820720114
0.548,0.3514135211156553
0.549,0.35230416807384135
0.55,0.353194289321997
0.551,0.35408425828681717
0.552,0.35497446726274295
0.553,0.35586453480339264
0.554,0.35675446309304815
0.555,0.3576443500820902
0.556,0.3585343870580532
0.557,0.35942448764402257
0.558,0.36031458497667146
0.559,0.36120498000332424
0.56,0.3620953116896742
0.561,0.36298604363007286
0.562,0.36387817068473716
0.5630000000000001,0.36477085557265754
0.5640000000000001,0.36566259424975395
0.5650000000000001,0.36655371734855935
0.5660000000000001,0.3674457220023407
0.5670000000000001,0.3683382703173517
0.5680000000000001,0.3692300814556299
0.5690000000000001,0.3701217124951824
0.5700000000000001,0.37101359172499604
0.5710000000000001,0.3719059349334162
0.5720000000000001,0.37279916961535225
0.5730000000000001,0.3736919275745823
0.5740000000000001,0.3745838505543624
0.5750000000000001,0.37547602093814253
0.5760000000000001,0.3763683965763036
0.5770000000000001,0.37726031408290683
0.5780000000000001,0.3781517933227599
0.5790000000000001,0.37904338223528883
0.5800000000000001,0.3799353211693338
0.5810000000000001,0.38082758185456134
0.5820000000000001,0.3817201731763138
0.5830000000000001,0.38261326687145936
0.5840000000000001,0.38350674955449254
0.5850000000000001,0.3844000003336487
0.5860000000000001,0.3852931901401427
0.5870000000000001,0.3861867025315758
0.5880000000000001,0.3870800969463152
0.5890000000000001,0.3879740696958455
0.5900000000000001,0.3888690746783145
0.5910000000000001,0.3897640178220101
0.5920000000000001,0.3906588098425994
0.5930000000000001,0.3915543017112197
0.5940000000000001,0.39245053527600626
0.5950000000000001,0.3933469199228719
0.5960000000000001,0.3942439604131486
0.5970000000000001,0.39514286108272506
0.5980000000000001,0.3960439398273853
0.5990000000000001,0.39694666028191633
0.6000000000000001,0.3978495143490161
0.6010000000000001,0.3987516936656956
0.6020000000000001,0.39965506802338074
0.6030000000000001,0.40056001834359267
0.6040000000000001,0.4014635123328542
0.6050000000000001,0.4023635258521538
0.6060000000000001,0.40326145310818134
0.6070000000000001,0.4041593675287123
0.6080000000000001,0.40505697587376843
0.6090000000000001,0.4059546124457495
0.6100000000000001,0.4068539198181536
0.6110000000000001,0.4077551525072817
0.6120000000000001,0.4086590009361846
0.6130000000000001,0.4095671143697359
0.6140000000000001,0.4104792908766184
0.6150000000000001,0.411392361244695
0.6160000000000001,0.41230429891430337
0.6170000000000001,0.4132179267832369
0.6180000000000001,0.41413403981224234
0.6190000000000001,0.41504805520710086
0.6200000000000001,0.41595640659783545
0.6210000000000001,0.41685998420164655
0.6220000000000001,0.41776215747601736
0.6230000000000001,0.418664751684132
0.6240000000000001,0.41956798634039527
0.6250000000000001,0.42047225303535285
0.6260000000000001,0.4213776940222838
0.6270000000000001,0.4222844265060284
0.6280000000000001,0.4231932494027388
0.6290000000000001,0.42410500163793285
0.6300000000000001,0.4250195886910453
0.6310000000000001,0.42593588972896007
0.6320000000000001,0.42685334339322756
0.6330000000000001,0.4277723494548
0.6340000000000001,0.42869209203329545
0.6350000000000001,0.4296113138510897
0.6360000000000001,0.4305305573130985
0.6370000000000001,0.43145088218511973
0.6380000000000001,0.43237235565758314
0.6390000000000001,0.43329437580568586
0.6400000000000001,0.43421652662826526
0.6410000000000001,0.4351389976568365
0.6420000000000001,0.4360618830877623
0.6430000000000001,0.4369849170509138
0.6440000000000001,0.43790801659952605
0.6450000000000001,0.43883128589388204
0.6460000000000001,0.43975474341059617
0.6470000000000001,0.4406783473487994
0.6480000000000001,0.4416020692527655
0.6490000000000001,0.4425259021864261
0.6500000000000001,0.44344984991957265
0.6510000000000001,0.4443739128178155
0.6520000000000001,0.4452980851644254
0.6530000000000001,0.4462223583975555
0.6540000000000001,0.4471467266168717
0.6550000000000001,0.44807119474868656
0.6560000000000001,0.44899578106569804
0.6570000000000001,0.4499204949956905
0.6580000000000001,0.45084532378129805
0.6590000000000001,0.4517702594131563
0.6600000000000001,0.45269530923893025
0.6610000000000001,0.45362047523214516
0.6620000000000001,0.4545457509496397
0.6630000000000001,0.45547113280583645
0.6640000000000001,0.4563966211493796
0.6650000000000001,0.45732221703306325
0.6660000000000001,0.4582479211502131
0.6670000000000001,0.4591737335147245
0.6680000000000001,0.4600996534697546
0.6690000000000002,0.46102567991708554
0.6700000000000002,0.46195181178942857
0.6710000000000002,0.4628780491834552
